Signal Legend:

Key        Signal Name

0        = PC[4..0]
1        = reset
2        = HAZARD_CONTROL_UNIT:HZRD_CTRL_UNT|actual_outcome
3        = HAZARD_CONTROL_UNIT:HZRD_CTRL_UNT|flush
4        = HAZARD_CONTROL_UNIT:HZRD_CTRL_UNT|prediction
5        = BPU:bpu|ghr_E[4..0]
6        = REGISTER_FILE:REG_FILE|registers[8][0..31]

Data Table:

Signals-> 0  1 2 3 4 5      6                                 

sample

122       4  0 0 0 0 00000b 00000000011101111110011010111010b 
123       2  0 0 0 0 00000b 00000000011101111110011010111010b 
124       3  0 0 0 0 00000b 00000000011101111110011010111010b 
125       4  0 1 1 0 00000b 00000000011101111110011010111011b 
126       5  0 0 0 0 00000b 00000000011101111110011010111011b 
127       6  0 0 0 0 00000b 00000000011101111110011010111011b 
128       7  0 0 0 0 00001b 00000000011101111110011010111011b 
129       8  0 0 0 0 00001b 00000000011101111110011010111011b 
130       9  0 0 0 0 00001b 00000000011101111110011010111011b 
131       10 0 0 0 0 00001b 00000000011101111110011010111011b 
132       11 0 0 0 0 00001b 00000000011101111110011010111011b 
133       12 0 0 0 0 00001b 00000000011101111110011010111011b 
134       13 0 0 0 0 00001b 00000000011101111110011010111011b 
135       14 0 0 0 0 00001b 00000000011101111110011010111011b 
136       15 0 0 0 0 00001b 00000000011101111110011010111011b 
137       16 0 0 0 0 00001b 00000000011101111110011010111011b 
138       17 0 0 0 0 00001b 00000000011101111110011010111011b 
139       18 0 0 0 0 00001b 00000000011101111110011010111011b 
140       19 0 0 0 0 00001b 00000000011101111110011010111011b 
141       20 0 0 0 0 00001b 00000000011101111110011010111011b 
142       21 0 0 0 0 00001b 00000000011101111110011010111011b 
143       22 0 0 0 0 00001b 00000000011101111110011010111011b 
144       23 0 0 0 0 00001b 00000000011101111110011010111011b 
145       24 0 0 0 0 00001b 00000000011101111110011010111011b 
146       25 0 0 0 0 00001b 00000000011101111110011010111011b 
147       26 0 0 0 0 00001b 00000000011101111110011010111011b 
148       27 0 0 0 0 00001b 00000000011101111110011010111011b 
149       28 0 0 0 0 00001b 00000000011101111110011010111011b 
150       29 0 0 0 0 00001b 00000000011101111110011010111011b 
151       30 0 0 0 0 00001b 00000000011101111110011010111011b 
152       31 0 0 0 0 00001b 00000000011101111110011010111011b 
153       0  0 0 0 0 00001b 00000000011101111110011010111011b 
154       1  0 0 0 0 00001b 00000000011101111110011010111011b 
155       2  0 0 0 0 00001b 00000000011101111110011010111011b 
156       3  0 0 0 0 00001b 00000000011101111110011010111011b 
157       4  0 0 0 0 00001b 00000000011101111110011010111011b 
158       2  0 0 0 0 00001b 00000000011101111110011010111011b 
159       3  0 0 0 0 00001b 00000000011101111110011010111011b 
160       4  0 0 0 0 00010b 00000000011101111110011010111100b 
161       2  0 0 0 0 00010b 00000000011101111110011010111100b 
162       3  0 0 0 0 00010b 00000000011101111110011010111100b 
163       4  0 0 0 0 00100b 00000000011101111110011010111101b 
164       2  0 0 0 0 00100b 00000000011101111110011010111101b 
165       3  0 0 0 0 00100b 00000000011101111110011010111101b 
166       4  0 0 0 0 01000b 00000000011101111110011010111110b 
167       2  0 0 0 0 01000b 00000000011101111110011010111110b 
168       3  0 0 0 0 01000b 00000000011101111110011010111110b 
169       4  0 0 0 0 10000b 00000000011101111110011010111111b 
170       2  0 0 0 0 10000b 00000000011101111110011010111111b 
171       3  0 0 0 0 10000b 00000000011101111110011010111111b 
172       4  0 0 0 0 00000b 00000000011101111110011011000000b 
173       2  0 0 0 0 00000b 00000000011101111110011011000000b 
174       3  0 0 0 0 00000b 00000000011101111110011011000000b 
175       4  0 0 0 0 00000b 00000000011101111110011011000001b 
176       2  0 0 0 0 00000b 00000000011101111110011011000001b 
177       3  0 0 0 0 00000b 00000000011101111110011011000001b 
178       4  0 0 0 0 00000b 00000000011101111110011011000010b 
179       2  0 0 0 0 00000b 00000000011101111110011011000010b 
180       3  0 0 0 0 00000b 00000000011101111110011011000010b 
181       4  0 0 0 0 00000b 00000000011101111110011011000011b 
182       2  0 0 0 0 00000b 00000000011101111110011011000011b 
183       3  0 0 0 0 00000b 00000000011101111110011011000011b 
184       4  0 0 0 0 00000b 00000000011101111110011011000100b 
185       2  0 0 0 0 00000b 00000000011101111110011011000100b 
186       3  0 0 0 0 00000b 00000000011101111110011011000100b 
187       4  0 1 1 0 00000b 00000000011101111110011011000101b 
188       5  0 0 0 0 00000b 00000000011101111110011011000101b 
189       6  0 0 0 0 00000b 00000000011101111110011011000101b 
190       7  0 0 0 0 00001b 00000000011101111110011011000101b 
191       8  0 0 0 0 00001b 00000000011101111110011011000101b 
192       9  0 0 0 0 00001b 00000000011101111110011011000101b 
193       10 0 0 0 0 00001b 00000000011101111110011011000101b 
194       11 0 0 0 0 00001b 00000000011101111110011011000101b 
195       12 0 0 0 0 00001b 00000000011101111110011011000101b 
196       13 0 0 0 0 00001b 00000000011101111110011011000101b 
197       14 0 0 0 0 00001b 00000000011101111110011011000101b 
198       15 0 0 0 0 00001b 00000000011101111110011011000101b 
199       16 0 0 0 0 00001b 00000000011101111110011011000101b 
200       17 0 0 0 0 00001b 00000000011101111110011011000101b 
201       18 0 0 0 0 00001b 00000000011101111110011011000101b 
202       19 0 0 0 0 00001b 00000000011101111110011011000101b 
203       20 0 0 0 0 00001b 00000000011101111110011011000101b 
204       21 0 0 0 0 00001b 00000000011101111110011011000101b 
205       22 0 0 0 0 00001b 00000000011101111110011011000101b 
206       23 0 0 0 0 00001b 00000000011101111110011011000101b 
207       24 0 0 0 0 00001b 00000000011101111110011011000101b 
208       25 0 0 0 0 00001b 00000000011101111110011011000101b 
209       26 0 0 0 0 00001b 00000000011101111110011011000101b 
210       27 0 0 0 0 00001b 00000000011101111110011011000101b 
211       28 0 0 0 0 00001b 00000000011101111110011011000101b 
212       29 0 0 0 0 00001b 00000000011101111110011011000101b 
213       30 0 0 0 0 00001b 00000000011101111110011011000101b 
214       31 0 0 0 0 00001b 00000000011101111110011011000101b 
215       0  0 0 0 0 00001b 00000000011101111110011011000101b 
216       1  0 0 0 0 00001b 00000000011101111110011011000101b 
